Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
3.0,Indiana Pacers*,73,241.4,39.5,88.5,0.446,11.5,33.6,0.341,28.0,54.8,0.511,17.0,21.6,0.788,10.4,34.9,45.2,23.1,6.9,4.6,14.7,18.8,107.5,2019
4.0,Los Angeles Lakers*,71,240.7,39.1,87.1,0.448,11.6,33.4,0.349,27.4,53.7,0.51,17.9,22.9,0.781,9.4,32.9,42.3,23.4,8.2,3.7,15.9,21.7,107.6,2019
5.0,Orlando Magic*,73,240.7,40.4,86.9,0.465,12.2,33.6,0.364,28.2,53.3,0.529,15.3,19.8,0.771,9.0,35.8,44.9,24.7,7.0,4.6,14.6,19.5,108.3,2019
6.0,Philadelphia 76ers*,73,241.0,39.8,86.0,0.463,10.4,29.4,0.353,29.4,56.5,0.52,18.4,24.5,0.751,8.6,33.2,41.8,22.8,7.0,4.0,13.8,20.5,108.4,2019
7.0,Oklahoma City Thunder*,72,242.1,40.8,89.6,0.455,11.3,33.3,0.34,29.5,56.4,0.523,15.5,19.6,0.795,10.5,34.3,44.8,23.0,7.0,4.0,14.2,22.8,108.4,2019
8.0,Milwaukee Bucks*,73,241.0,38.9,94.0,0.414,14.0,39.3,0.355,25.0,54.7,0.457,16.7,21.2,0.787,9.5,36.3,45.8,24.2,7.4,4.5,14.1,21.7,108.6,2019
9.0,Utah Jazz*,72,241.0,40.7,89.1,0.457,11.0,31.0,0.353,29.7,58.1,0.512,16.5,21.5,0.767,9.6,33.1,42.7,21.5,7.9,4.6,12.3,20.8,108.8,2019
10.0,Miami Heat*,73,243.1,38.8,86.7,0.448,13.1,37.7,0.347,25.7,48.9,0.525,18.4,23.6,0.783,9.2,33.3,42.5,24.6,7.5,4.1,14.0,21.7,109.1,2019
11.0,Denver Nuggets*,73,243.1,40.0,86.5,0.463,12.1,33.9,0.358,27.9,52.6,0.53,17.1,22.5,0.759,10.1,32.6,42.6,25.4,7.2,4.4,14.3,20.5,109.2,2019
12.0,Charlotte Hornets,65,242.3,41.7,87.5,0.476,12.4,35.1,0.352,29.3,52.5,0.558,14.0,18.4,0.758,10.9,35.0,46.0,26.6,8.0,5.0,14.4,20.6,109.6,2019
13.0,Los Angeles Clippers*,72,241.4,39.5,90.2,0.438,12.3,35.6,0.345,27.2,54.6,0.499,18.5,24.5,0.756,10.7,34.6,45.3,23.7,7.5,4.7,14.1,22.9,109.9,2019
14.0,Chicago Bulls,65,241.2,39.5,82.5,0.479,11.2,31.6,0.353,28.3,50.9,0.557,19.7,26.0,0.759,10.2,35.4,45.5,25.4,8.2,5.9,18.3,19.2,109.9,2019
15.0,Detroit Pistons,66,241.9,41.9,87.3,0.48,10.7,29.6,0.361,31.3,57.8,0.541,16.2,20.9,0.777,10.1,33.4,43.5,24.6,8.2,5.6,14.0,19.8,110.8,2019
16.0,Sacramento Kings,72,242.4,40.3,85.5,0.471,12.4,34.8,0.357,27.8,50.7,0.549,19.2,24.3,0.79,9.1,34.5,43.5,24.9,7.7,4.2,15.2,19.5,112.1,2019
17.0,Dallas Mavericks*,75,242.3,41.9,91.6,0.458,12.3,34.9,0.351,29.7,56.7,0.523,16.0,21.0,0.76,10.4,35.0,45.4,23.9,7.0,4.1,11.9,21.3,112.1,2019
18.0,Brooklyn Nets*,72,242.8,41.4,92.9,0.446,12.2,34.8,0.35,29.2,58.1,0.503,17.4,22.6,0.769,10.6,35.3,45.9,22.6,7.7,5.3,12.8,21.1,112.3,2019
19.0,New York Knicks,66,241.9,39.9,86.0,0.463,13.3,34.9,0.381,26.6,51.1,0.52,19.2,25.7,0.749,9.6,34.6,44.2,24.3,7.2,5.0,13.7,19.8,112.3,2019
20.0,Phoenix Suns,73,241.0,41.2,87.4,0.472,11.6,32.0,0.363,29.6,55.4,0.535,19.3,24.5,0.788,9.1,34.2,43.3,23.6,7.9,5.5,15.6,22.6,113.4,2019
21.0,Memphis Grizzlies,73,240.7,40.6,90.3,0.45,12.9,35.3,0.365,27.7,55.0,0.504,19.6,25.0,0.782,10.4,34.5,44.9,24.8,8.0,5.3,14.8,20.2,113.7,2019
22.0,Houston Rockets*,72,241.4,42.3,91.5,0.462,12.2,35.0,0.349,30.1,56.5,0.532,18.0,23.7,0.761,11.2,36.7,47.9,25.3,8.0,4.9,16.2,21.0,114.8,2019
23.0,Cleveland Cavaliers,65,241.9,43.9,89.4,0.491,12.4,33.0,0.375,31.5,56.4,0.558,14.7,19.2,0.767,9.7,33.1,42.9,26.1,9.4,6.3,13.0,19.6,114.8,2019
24.0,Golden State Warriors,65,241.9,42.2,88.6,0.476,13.5,34.8,0.389,28.7,53.8,0.533,17.1,21.9,0.783,10.2,36.3,46.5,26.1,8.2,4.9,15.6,20.1,115.0,2019
